-0.00 0.0074
0.00 0.0109
0.00 0.0145
0.00 0.0178
0.00 0.0210
0.01 0.0240
0.01 0.0267
0.01 0.0293
0.01 0.0317
0.02 0.0340
0.02 0.0361
0.02 0.0382
0.02 0.0405
0.03 0.0429
0.03 0.0453
0.04 0.0477
0.04 0.0502
0.05 0.0526
0.05 0.0549
0.06 0.0569
0.07 0.0589
0.07 0.0607
0.08 0.0624
0.08 0.0639
0.09 0.0655
0.10 0.0673
0.11 0.0692
0.12 0.0711
0.14 0.0729
0.15 0.0743
0.17 0.0753
0.19 0.0759
0.21 0.0762
0.23 0.0763
0.24 0.0761
0.26 0.0758
0.28 0.0752
0.30 0.0745
0.31 0.0737
0.33 0.0727
0.35 0.0716
0.37 0.0704
0.39 0.0691
0.40 0.0677
0.42 0.0661
0.44 0.0645
0.46 0.0628
0.47 0.0610
0.49 0.0592
0.51 0.0573
0.53 0.0553
0.55 0.0532
0.56 0.0511
0.58 0.0489
0.60 0.0467
0.62 0.0444
0.63 0.0420
0.65 0.0397
0.67 0.0372
0.69 0.0347
0.71 0.0322
0.72 0.0297
0.74 0.0270
0.76 0.0244
0.78 0.0217
0.79 0.0190
0.81 0.0162
0.83 0.0134
0.85 0.0105
0.86 0.0076
0.88 0.0049
0.89 0.0026
0.91 0.0007
0.91 -0.0009
0.92 -0.0022
0.93 -0.0033
0.93 -0.0043
0.94 -0.0051
0.94 -0.0058
0.95 -0.0063
0.95 -0.0067
0.95 -0.0071
0.95 -0.0076
0.95 -0.0081
0.96 -0.0088
0.96 -0.0095
0.96 -0.0102
0.96 -0.0109
0.97 -0.0114
0.97 -0.0118
0.97 -0.0120
0.97 -0.0121
0.97 -0.0122
0.98 -0.0122
0.98 -0.0123
0.98 -0.0124
0.98 -0.0125
0.99 -0.0126
0.99 -0.0128
0.99 -0.0128
0.99 -0.0129
0.99 -0.0130
0.99 -0.0131
1.00 -0.0131
1.00 -0.0132
1.00 -0.0132
1.00 -0.0132
1.00 -0.0133
1.00 -0.0135
1.00 -0.0213
1.00 -0.0135
1.00 -0.0208
1.00 -0.0205
1.00 -0.0201
1.00 -0.0197
1.00 -0.0193
1.00 -0.0189
1.00 -0.0185
1.00 -0.0181
1.00 -0.0176
1.00 -0.0172
1.00 -0.0168
1.00 -0.0164
1.00 -0.0160
1.00 -0.0156
1.00 -0.0151
1.00 -0.0147
1.00 -0.0143
0.00 0.0040
0.00 0.0009
0.01 -0.0019
0.01 -0.0043
0.01 -0.0064
0.01 -0.0081
0.02 -0.0095
0.02 -0.0108
0.02 -0.0108
0.02 -0.0121
0.03 -0.0133
0.03 -0.0145
0.04 -0.0157
0.04 -0.0168
0.05 -0.0180
0.06 -0.0190
0.06 -0.0200
0.07 -0.0209
0.07 -0.0218
0.08 -0.0227
0.08 -0.0236
0.09 -0.0247
0.10 -0.0259
0.11 -0.0274
0.12 -0.0292
0.14 -0.0312
0.15 -0.0334
0.17 -0.0356
0.19 -0.0377
0.21 -0.0395
0.23 -0.0411
0.24 -0.0425
0.26 -0.0437
0.28 -0.0447
0.30 -0.0456
0.31 -0.0463
0.33 -0.0469
0.35 -0.0474
0.37 -0.0478
0.39 -0.0481
0.40 -0.0482
0.42 -0.0483
0.44 -0.0483
0.46 -0.0482
0.47 -0.0480
0.49 -0.0478
0.51 -0.0474
0.53 -0.0470
0.54 -0.0466
0.56 -0.0461
0.58 -0.0455
0.60 -0.0449
0.62 -0.0442
0.63 -0.0435
0.65 -0.0427
0.67 -0.0419
0.69 -0.0410
0.70 -0.0401
0.72 -0.0392
0.74 -0.0382
0.76 -0.0371
0.78 -0.0361
0.79 -0.0350
0.81 -0.0338
0.83 -0.0326
0.85 -0.0314
0.86 -0.0301
0.88 -0.0289
0.89 -0.0278
0.90 -0.0269
0.91 -0.0262
0.92 -0.0256
0.93 -0.0250
0.93 -0.0246
0.94 -0.0242
0.94 -0.0239
0.95 -0.0236
0.95 -0.0235
0.95 -0.0233
0.95 -0.0230
0.95 -0.0226
0.96 -0.0221
0.96 -0.0216
0.96 -0.0210
0.96 -0.0206
0.97 -0.0203
0.97 -0.0201
0.97 -0.0201
0.97 -0.0202
0.97 -0.0203
0.98 -0.0205
0.98 -0.0206
0.98 -0.0207
0.98 -0.0208
0.99 -0.0209
0.99 -0.0210
0.99 -0.0211
0.99 -0.0212
0.99 -0.0213
0.99 -0.0214
1.00 -0.0214
1.00 -0.0215
1.00 -0.0215
1.00 -0.0215
1.00 -0.0215
1.00 -0.0213
